Company,Title,States,Date Issued,Recall Reason,Recall Status,Recall Classification
M&amp;P Production LTD,"New York Firm Recalls Chicken, Beef, Veal and Pork Products Due to an Undeclared Allergen",Massachusetts,,Unreported Allergens,Closed Recall,Class I
Cargill Meat Solutions,Arkansas Firm Recalls Ground Turkey Products Due to Possible Salmonella Contamination,,,Product Contamination,Closed Recall,Class I
,Hawaii Firm Recalls Chicken Caesar Salads Due To Misbranding and Undeclared Allergens,Hawaii,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Hawaii Firm Recalls Chicken Caesar Salads Due to Misbranding and Undeclared Allergens,Hawaii,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Chicken Caesar Salad (misbranding/undeclared allergen) ,Alaska,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,California Firm Recalls Chicken Caesar Salad Products Due To Misbranding and Undeclared Allergen,Oregon,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Silva Sausage Co.,California Firm Recalls Chicken Products Due To An Undeclared Allergen,California,,Unreported Allergens,Closed Recall,Class I
,Recall Notification Report,"North Carolina, South Carolina, Virginia",2012-06-03,Product Contamination,Closed Recall,Class III
,Minnesota Firm Recalls Summer Sausage Products Due To Misbranding And An Undeclared Alergen,Wisconsin,,"Misbranding, Unreported Allergens",Closed Recall,Class I
"National Beef Packing Co., L.L.C.",Kansas Slaughter Firm Recalls Ground Beef Due to Possible E. Coli O157:H7 Adulteration,,,Product Contamination,Closed Recall,Class I
,Canadian Firm Recalls Bacon Products for Possible Listeria Contamination,,,Product Contamination,Closed Recall,Class I
McNees Meats and Wholesale LLC,Michigan Firm Expands Recall of Ground Beef Products Due to Possible E. Coli O157: NM Contamination,Michigan,,Product Contamination,Closed Recall,Class I
McNees Meats and Wholesale LLC,Michigan Firm Recalls Ground Beef Products Due o Possible E. Coli O157:NM Contamination,Michigan,,Product Contamination,Closed Recall,Class I
,Recall Notification Report,Texas,2012-06-02,Product Contamination,Closed Recall,Class III
Cargill Meat Solutions,Arkansas Firm Recalls Ground Turkey Products Due to Possible Salmonella Contamination,,,Product Contamination,Closed Recall,Class I
,Various Meat Products (Produced Without Inspection) ,,,Produced Without Benefit of Inspection,Closed Recall,Class I
Curly&#039;s Custom Meats Inc,Ohio Firm Recalls Jerky Products Due To Misbranding And An Undeclared Allergen,Ohio,2012-06-02,"Misbranding, Unreported Allergens",Closed Recall,Class II
,Florida Firm Recalls Imported Beef Products Due To Potential Animal Drug Contaminant,,,Product Contamination,Closed Recall,Class II
,Recall Notification Report,"Illinois, Ohio, Iowa, Virginia",2012-06-02,Product Contamination,Closed Recall,Class III
,New York Importer Recalls Bacon Products for Possible Listeria Contamination,"Florida, Illinois, Indiana, Michigan, Ohio",,Product Contamination,Closed Recall,Class I
"Bobby Salazar&#039;s Food Products, Inc.",California Firm Recalls Beef Products Produced without Inspection,California,,Produced Without Benefit of Inspection,Closed Recall,Class II
Yants Snack Foods LLC,Ohio Firm Recalls Various Beef Jerky Products due to Misbranding and Undeclared Allergens,"Ohio, Indiana",,"Misbranding, Unreported Allergens",Closed Recall,Class II
Pilgrim&#039;s Pride Corporation,Texas Firm Recalls Additional Ready-to-Eat Chicken Products for possible Listeria Contamination,"Alabama, Florida, Georgia, Indiana, Kentucky, Ohio, Tennessee, Virginia, West Virginia",,Product Contamination,Closed Recall,Class I
Pilgrim&#039;s Pride Corporation,Texas Firm Recalls Ready-To-Eat Chicken Products for Possible Listeria Contamination,"New Jersey, Texas",,Product Contamination,Closed Recall,Class I
,Marinated Beef Products (Misbranding and undeclared allergens),"Indiana, Missouri, Ohio",,"Misbranding, Unreported Allergens",Closed Recall,Class II
Flying Food Group,Georgia Firm Recalls More Ready-To-Eat Products for Possible Listeria Contamination,Georgia,,Product Contamination,Closed Recall,Class I
Flying Food Group,Georgia Firm Recalls Ready-To-Eat Chicken Products for Possible Listeria Contamination,"Georgia, Alabama",,Product Contamination,Closed Recall,Class I
,New York Firm Recalls Imported Ready-To-Eat Smoked Duck Breast Products Due To Possible Salmonella Contamination,California,,Product Contamination,Closed Recall,Class I
,Massachusetts Firm Recalls Imported Ready-To-Eat Smoked Duck Breast Products Due To Possible Salmonella Contamination,"Illinois, Connecticut, Massachusetts, New York, Pennsylvania",,Product Contamination,Closed Recall,Class I
"Warabeya U.S.A., Inc.",Hawaii Firm Recalls Convenience Meals for Possible Listeria Contamination,Hawaii,,Product Contamination,Closed Recall,Class I
,South Carolina Firm Recalls Ham Products for Possible Listeria Contamination,,,Product Contamination,Closed Recall,Class I
,New Jersey Firm Recalls Imported Ham Products Due To Potential Listeria Contamination,,,Product Contamination,Closed Recall,Class I
"Twin Marquis, LLC",New York Firm Recalls Pork Egg Rolls Due To Misbranding and Undeclared Allergens,New York,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Raw and Ready-To-Eat Sausage Products (adulterated) ,,,Product Contamination,Closed Recall,Class I
Big B Distributors,Indiana Firm Recalls Burgoo Soup Due to Misbranding and an Undeclared Allergen,Kentucky,,"Unreported Allergens, Mislabeling",Closed Recall,Class I
Kim Son Food Co.,California Firm Recalls Meatball Products due to Misbranding and an Undeclared Allergen,"Pennsylvania, Virginia, Texas, Washington",,"Misbranding, Unreported Allergens",Closed Recall,Class II
,Recall Notification Report,"Illinois, Kansas, Louisiana, Missouri, Nebraska, North Carolina, Pennsylvania, Texas, Virginia",2012-06-02,"Misbranding, Mislabeling",Closed Recall,Class III
,Michigan Firm Recalls Ground Beef Due To Possible E. Coli O157:H7 Contamination,,,Product Contamination,Closed Recall,Class I
Fresh &amp; Ready Foods LLC,California Firm Recalls Chicken Noodle Salad Due to Mislabeling and an Undeclared Allergen,,2012-06-12,"Mislabeling, Unreported Allergens",Closed Recall,Class I
,Georgia Firm Recalls Ground Beef Products Due to Possible E. Coli 0157:H7 Contamination,,,Product Contamination,Closed Recall,Class I
,California Firm Recalls Deli Meat Products for Possible Listeria Contamination,"Arizona, California, Nevada, Oregon, Washington",,Product Contamination,Closed Recall,Class I
Troll Smokehouse,Recall Notification Report,Michigan,2012-06-02,Mislabeling,Closed Recall,Class III
,Kentucky Firm Recalls Chicken Products Due To Mislabeling and Undeclared Allergen,"Georgia, Indiana, Kentucky, Ohio, Tennessee",,"Unreported Allergens, Mislabeling",Closed Recall,Class II
"Butterfield Foods, LLC","Indiana Firm Recalls Barbecue Beef, Pork and Chicken Products Due To Mislabeling and an Undeclared Allergen",Indiana,,"Unreported Allergens, Mislabeling",Closed Recall,Class II
Taylor Farm - Pacific,California Firm Recalls Ready-to-Eat Fresh Salad Products Containing Meat and Poultry Due to Possible Salmonella Contamination,,,Product Contamination,Closed Recall,Class I
Smithfield Fresh Meats Corp.,North Carolina Firm Recalls Portobello Mushroom Flavored Pork Loins Due to Mislabeling and an Undeclared Allergen,"Alabama, Florida, Illinois, Kentucky, Maryland, Massachusetts, Mississippi, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Tennessee, Texas, Virginia",,"Unreported Allergens, Mislabeling",Closed Recall,Class I
,Pennsylvania Firm Recalls Reduced Sodium Chicken Noodle Soup Due to Mislabeling and an Undeclared Allergen10.5-oz. cans of &quot;GREAT VALUE REDUCED SODIUM CHICKEN NOODLE CONDENSED SOUP.&quot;,,,"Unreported Allergens, Mislabeling",Closed Recall,Class I
Oberto Snacks Inc.,Washington Firm Recalls Beef Jerky Products Due to Mislabeling and an Undeclared Allergen,"Iowa, Minnesota, North Dakota, Wisconsin",,"Unreported Allergens, Mislabeling",Closed Recall,Class II
Troll Smokehouse,Michigan Firm Recalls Teriyaki Flavored Beef and Poultry Products Due To Mislabeling and an Undeclared Allergen,Michigan,,"Unreported Allergens, Mislabeling",Closed Recall,Class II
Jennie-O Turkey Store,Minnesota Firm Recalls Turkey Burger Products Due to Possible Salmonella Contamination,Wisconsin,,Product Contamination,Closed Recall,Class I
Wayne Farms LLC,Alabama Firm Recalls Frozen Chicken Fillet Products Due to Mislabeling and an Undeclared Allergen,"New Jersey, Massachusetts",,"Unreported Allergens, Mislabeling",Closed Recall,Class I
,California Firm Recalls Pizza Products Due to Mislabeling and Undeclared Allergen,,,"Unreported Allergens, Mislabeling",Closed Recall,Class II
Palmyra Bologna Company,Pennsylvania Firm Recalls Lebanon Bologna Products Due to Possible E. coli O157:H7 Contamination,"California, Colorado, Maryland, New York, Pennsylvania",,Product Contamination,Closed Recall,Class I
"Northwest Premium Meats, LLC",Recall Notification Report,Idaho,2012-06-02,Mislabeling,Closed Recall,Class III
,California Firm Recalls Kashi Southwest Style Chicken Products Due to Mislabeling and Undeclared Allergen,,,"Unreported Allergens, Mislabeling",Closed Recall,Class I
,Recall Notification Report,"California, Georgia, Hawaii, Illinois, New Jersey, New York",2012-06-02,Mislabeling,Closed Recall,Class III
Nestle Prepared Foods Company,South Carolina Firm Recalls Spaghetti And Meatball Entrees That May Contain Foreign Materials,"South Dakota, Minnesota, Wisconsin",,Product Contamination,Closed Recall,Class II
"Monogram Meat Snacks, LLC",Minnesota Firm Recalls Honey Cured Turkey Stick Products Due To Mislabeling and an Undeclared Allergen,"California, Colorado, Illinois, Missouri, Ohio",,"Unreported Allergens, Mislabeling",Closed Recall,Class II
,Minnesota Firm Recalls Jerky Products Due To Mislabeling And Undeclared Allergens,,,"Unreported Allergens, Mislabeling",Closed Recall,Class I
Zweigle&#039;s Inc.,New York Firm Recalls Bologna Products Due To a Processing Deviation and Possible Contamination with Staphylococcus aureus Enterotoxin,New York,,Product Contamination,Closed Recall,Class I
,Kansas Firm Recalls Ground Beef Products Due To Possible E. coli O157:H7 Contamination,Arizona,,Product Contamination,Closed Recall,Class I
Taylor Farm - Pacific,California Firm Recalls Chicken and Pork Products for Possible Listeria Contamination,"Arizona, California, Colorado, Oregon, Washington",,Product Contamination,Closed Recall,Class I
,California Firm Recalls Chicken and Mushroom Pie Products due to Mislabeling and Undeclared Allergen,"California, Colorado, Texas, Florida",,"Unreported Allergens, Mislabeling",Closed Recall,Class I
"NEW MARKET POULTRY, LLC",Virginia Firm Recalls Whole Chicken Products That May Be Adulterated,New York,,Product Contamination,Closed Recall,Class II
J&amp;J Distributing,Recall Notification Report,Minnesota,2012-06-02,Mislabeling,Closed Recall,Class III
,Arkansas Firm Recalls Various Meat and Poultry Products Produced Without Inspection,,,Produced Without Benefit of Inspection,Closed Recall,Class I
,Recall Notification Report,"Arizona, California, Texas",2012-06-02,Misbranding,Closed Recall,Class III
Meridian Meat and Sausage,Colorado Firm Recalls Chili Products Due to Mislabeling and an Undeclared Allergen,,,Unreported Allergens,Closed Recall,Class II
Simmons&#039; Barbecue Inc,Alabama Firm Recalls Barbecue Pork Products Due To Mislabeling and an Undeclared Allergen,"Alabama, Georgia, Tennessee, Mississippi",,"Unreported Allergens, Mislabeling",Closed Recall,Class I
,California Firm Recalls Ground Beef Products Due to Possible E. coli O157:H7 Contamination,California,,Product Contamination,Closed Recall,Class I
"Nina Mia, Inc.",California Firm Recalls Frozen Veal Ravioli Products Due To Mislabeling and an Undeclared Allergen,California,,"Unreported Allergens, Mislabeling",Closed Recall,Class II
,Recall Notification Report,California,2012-06-01,Product Contamination,Closed Recall,Class III
,Colorado Firm Recalls Ground Beef Products Due To Mislabeling and Possible Adulteration,Colorado,,"Mislabeling, Product Contamination",Closed Recall,Class II
,Recall Notification Report,"California, Colorado, Minnesota, Washington",2012-06-01,Mislabeling,Closed Recall,Class III
,New Jersey Firm Expands Recall of Ground Beef Products Due To Possible Adulteration,"Alabama, Florida, Georgia, Louisiana, Mississippi",,Product Contamination,Closed Recall,Class II
,New Jersey Firm Recalls Ground Beef Products Due To Possible Adulteration,"California, Oregon",,Product Contamination,Closed Recall,Class II
,California Firm Recalls Tamale Products Due to Mislabeling and an Undeclared Allergen,"California, Oregon, Washington",,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Recall Notification Report,"California, New York",2012-06-01,Mislabeling,Closed Recall,Class III
Wayne Farms LLC,Alabama Firm Recalls Bbq Chicken Wing Products Due To Misbranding And Undeclared Allergen,"Kentucky, Tennessee",,"Misbranding, Unreported Allergens",Closed Recall,Class I
"Stehouwer&#039;s Frozen Foods, Inc.",Michigan Firm Recalls Pigs in the Blanket Products Due To Misbranding and Undeclared Allergen,Michigan,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Virginia Firm Recalls Mortadella Due To Misbranding and Undeclared Nut Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Georgia Firm Recalls Fully Cooked Breaded Chicken Products That May Contain Foreign Materials,,,Product Contamination,Closed Recall,Class II
,New York Firm Recalls Ready-To-Eat Beef and Cheese Pie Products Produced Without Benefit Of Inspection,New York,,Produced Without Benefit of Inspection,Closed Recall,Class I
Troll Smokehouse,Recall Notification Report,Michigan,2013-06-12,Mislabeling,Closed Recall,Class III
,Recall Notification Report ,Texas,2013-06-01,Mislabeling,Closed Recall,Class III
Stanley&#039;s Market Brands LLC,Recall Notification Report,"Indiana, Michigan, Ohio",2013-06-01,Product Contamination,Closed Recall,Class III
,Iowa Firm Recalls Barbecue Sausage Products That May Be Undercooked,,,Processing Defect,Closed Recall,Class I
,Wisconsin Firm Recalls Beef Tongues That May Contain Specified Risk Materials,"Wisconsin, Illinois",,Product Contamination,Closed Recall,Class II
,Alabama Firm Recalls Frozen Chicken Products That May Contain Foreign Materials,Kentucky,,Product Contamination,Closed Recall,Class II
,Virginia Firm Recalls Chicken Breast Nugget Products Due To Misbranding And Undeclared Allergen,"North Carolina, Connecticut",,"Misbranding, Unreported Allergens",Closed Recall,Class I
Blount Fine Foods Corp.,Texas Firm Recalls Chicken Enchilada Products That May Contain Foreign Materials,"New York, Ohio, Pennsylvania, West Virginia",,Product Contamination,Closed Recall,Class II
"Higa Meat &amp; Pork Market, Ltd.",Hawaii Firm Recalls Ground Beef Products Due To Possible E. Coli O157:H7 Contamination,Hawaii,,Product Contamination,Closed Recall,Class I
Salt Lake Fine Foods,Utah Firm Recalls Ground Beef Products Due To Possible E. Coli O157:H7 Contamination,Utah,,Product Contamination,Closed Recall,Class I
"BEF Foods, Inc.",Recall Notification Report,,2013-05-29,Misbranding,Closed Recall,Class III
,Texas Firm Recalls Beef and Pork Products Produced Without Benefit of Inspection and Misbranding,"Louisiana, Texas",,"Misbranding, Produced Without Benefit of Inspection",Closed Recall,Class I
"Tyson Foods, Inc.",Arkansas Firm Recalls Boneless Chicken Products Due to Misbranding and Undeclared Allergens,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Smithfield Packaged Meats Corp.,North Carolina Firm Recalls Chicken Quesadilla Product Due to Misbranding and an Undeclared Allergen,Georgia,,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Foster  Poultry Farms, LLC",Alabama Firm Recalls Corn Dog Products Due to Misbranding and Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Makowski&#039;s Real Sausage Company,Illinois Firm Recalls Bratwurst Products Due to Misbranding and Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
"Serenade Foods, Division of Maple Leaf Farms, Inc.",Indiana Firm Recalls Chicken Strip Products That May Contain Foreign Materials,Florida,,Product Contamination,Closed Recall,Class II
"Klement&#039;s Sausage Company, Inc.",Recall Notification Report,,2013-05-29,Product Contamination,Closed Recall,Class III
,California Firm Recalls Grilled Chicken Caesar Salad Kits For Possible Salmonella Contamination,California,,Product Contamination,Closed Recall,Class I
"OSI Industries, LLC",Recall Notification Report,,2013-05-29,Mislabeling,Closed Recall,Class III
"Square H Brands, Inc.",Recall Notification Report,,2013-05-19,Product Contamination,Closed Recall,Class III
"Johnsonville, LLC",Wisconsin Firm Recalls Turkey Sausage with Cheddar Cheese Products That May Contain Foreign Materials,,,Product Contamination,Closed Recall,Class II
Blount Fine Foods,Massachusetts Firm Recalls Soup Products That May Contain Foreign Materials,,,Product Contamination,Closed Recall,Class II
Dale T. Smith and Sons Meat Packing Company Inc,Utah Firm Recalls Beef Products Due To Possible E. Coli O157:H7 Contamination,,,Product Contamination,Closed Recall,Class I
Alexis Wholesale Inc.,Recall Notification Report,,2013-05-29,Misbranding,Closed Recall,Class III
Reichel Foods Inc.,Minnesota Firm Recalls Ready-To-Eat Meat and Poultry Products Due To Potential Listeria Monocytogenes Contamination,"Indiana, Minnesota, Pennsylvania, Texas",,Product Contamination,Closed Recall,Class I
Kenosha Beef International Ltd,Wisconsin Firm Recalls Frozen Bacon Cheeseburger Patties That May Contain Foreign Materials,"Indiana, Maine, North Carolina, Ohio, Pennsylvania, South Carolina, Wisconsin",,Product Contamination,Closed Recall,Class II
"Garden Fresh Foods, Inc.",Wisconsin Firm Recalls Meat and Poultry Salad Products Due To Potential Listeria Monocytogenes Contamination,,,Product Contamination,Closed Recall,Class I
Tony Downs Foods,Minnesota Firm Recalls Canned Chicken Products Due To Mislabeling And Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class II
Enslin &amp; Son Packing Company,Mississippi Firm Recalls Sausage Products For Possible Listeria Monocytogenes Contamination,,,Product Contamination,Closed Recall,Class I
LSG Sky Chefs,Florida Firm Recalls Chicken Wrap Products Due To Possible Listeria Monocytogenes Contamination,Florida,,Product Contamination,Closed Recall,Class I
,California Firm Recalls BBQ Chicken Salads for Possible Listeria Monocytogenes Contamination,"Arizona, New Mexico, California, Nevada, Texas",,Product Contamination,Closed Recall,Class I
,California Firm Recalls Chicken and Yam Pie Products Due to Misbranding and an Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Cargill Meat Solutions Corporation,Pennsylvania Firm Recalls Ground Beef Products Due To Possible Salmonella Contamination,Massachusetts,,Product Contamination,Closed Recall,Class I
Buona Vita Inc.,"New Jersey Firm Recalls Various Frozen, Ready-To-Eat Meat and Poultry Products Due To Potential Listeria Monocytogenes Contamination",,,Product Contamination,Closed Recall,Class I
"Morgan Foods, Inc.",Indiana Firm Recalls Corn Chowder Soup Products That May Contain Foreign Materials,"Connecticut, Maryland, New Jersey, New York, Pennsylvania, Virginia",,Product Contamination,Closed Recall,Class II
Buona Vita Inc.,"New Jersey Firm Recalls Various Frozen, Ready-To-Eat Meat and Poultry Products Due To Potential Listeria Monocytogenes Contamination",,,Product Contamination,Closed Recall,Class I
Pucci Foods,California Firm Recalls Raw Stuffed Chicken Product Due To Misbranding and Undeclared Allergens,"Arizona, California, Nevada, New Mexico, Oregon, Washington",,"Misbranding, Unreported Allergens",Closed Recall,Class I
JRC Culinary Group Inc.,Recall Notification Report,"California, Nevada",2013-05-28,Mislabeling,Closed Recall,Class III
,Illinois Firm Recalls Meat Lasagna Products Due to Misbranding and Undeclared Allergens,"District of Columbia, Maryland, Virginia",,"Misbranding, Unreported Allergens",Closed Recall,Class I
L. Kang Inc.,Hawaii Firm Recalls Ready-To-Eat Pork Product for Possible Listeria Contamination,Hawaii,,Product Contamination,Closed Recall,Class I
Ba Le Meat Processing,Chicago Firm Recalls Pork Roll Products Due To Misbranding and Undeclared Allergen,"California, Colorado, Illinois, Massachusetts, Minnesota",,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Mt. Airy Meat Center, Inc.",North Carolina Firm Recalls Chicken Breast Product Due To Misbranding And An Undeclared Allergen,North Carolina,,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Zenner&#039;s Quality Meat Products, Inc.",Oregon Firm Recalls Smoked Bratwurst Product Due To Misbranding And Undeclared Allergen,"California, Idaho, Nevada, Oregon, Washington",,"Misbranding, Unreported Allergens",Closed Recall,Class II
WEST BEST FOODS INC,Nevada Firm Recalls Lasagna Product Due to Misbranding and an Undeclared Allergen,Nevada,,"Misbranding, Unreported Allergens",Closed Recall,Class II
Swift Pork Company,Minnesota Firm Recalls Steakhouse Burgers Due to Misbranding and Undeclared Allergens,"Minnesota, Wisconsin",,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Foster Poultry Farms, LLC",California Firm Recalls Turkey Burger Product Due To Misbranding and Undeclared Allergen,"Arizona, California, Colorado, Nevada, Oregon, Utah, Washington",,"Misbranding, Unreported Allergens",Closed Recall,Class II
,Pennsylvania Firm Recalls Lamb Koftis Due to Misbranding and an Undeclared Allergen,"Illinois, Pennsylvania",,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Texas Firm Recalls Beef Samosa Products Due To Lack of Federal Inspection,Texas,,Produced Without Benefit of Inspection,Closed Recall,Class II
"Euro Foods Inc., d/b/a Citterio USA Corp",Pennsylvania Firm Recalls Chorizo Product Due To Misbranding and an Undeclared Allergen,"Florida, Maryland",,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Albie&#039;s Food Products, LLC",Michigan Firm Recalls Calzone Products for Possible Listeria Contamination,,,Product Contamination,Closed Recall,Class I
Old Style Sausage,Colorado Firm Recalls Sausage Products Due To Misbranding and Undeclared Allergen,Colorado,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Nestle Prepared Foods Company,South Carolina Firm Recalls Frozen Entrées Due to Mislabeling and an Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class II
,Maine Firm Recalls Ground and Tenderized Beef Products Due to Possible E. Coli O157:H7 Contamination,Maine,,Product Contamination,Closed Recall,Class I
"QUALITY FOOD DISTRIBUTOR, INC.",Recall Notification Report,Nevada,2013-05-28,Mislabeling,Closed Recall,Class III
Albaghdadi Food Inc.,Michigan Firm Recalls Stuffed Potato Product with Beef Filling Due To Misbranding and Undeclared Allergens,Arizona,,"Misbranding, Unreported Allergens",Closed Recall,Class I
"Eddy Packing Co., Inc.",Texas Firm Recalls Chicken Sausage Products Nationwide That May Contain Foreign Materials,,,Product Contamination,Closed Recall,Class II
"Taylor Farms New Jersey, Inc.",New Jersey Firm Recalls Chicken Products Due to Misbranding and Undeclared Allergens,New York,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Illinois Firm Recalls Stuffed Beef Products for Possible Listeria Contamination,,,Product Contamination,Closed Recall,Class I
J Bar B Foods,Texas Firm Recalls Pork and Beef Smoked Sausage Due to Misbranding and Undeclared Allergens,"Texas, Indiana",,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Washington Firm Recalls Beef Patties Due To Possible E. Coli Contamination,"Arizona, Colorado, Texas, Washington",,Product Contamination,Closed Recall,Class I
Southside Market &amp; Barbeque,Texas Firm Recalls Beef Sausage Products Due To Possible Listeria Contamination,"California, Florida, Illinois, Louisiana, Texas",,Product Contamination,Closed Recall,Class I
S.D.J TRADING,Recall Notification Report,New Jersey,2013-05-27,Import Violation,Closed Recall,Class III
,California Firm Recalls Chicken Caesar Wraps Due to Misbranding and Undeclared Allergens,California,,"Misbranding, Unreported Allergens",Closed Recall,Class I
,Kansas Firm Recalls Pizza Topping Products Nationwide Due To Misbranding And Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Pasou Foods, Inc.",Indiana Firm Recalls Ready-To-Eat Pizza Stick Products Produced Without Benefit of Inspection,Indiana,,Produced Without Benefit of Inspection,Closed Recall,Class II
London Manhattan Corp.,Recall Notification Report,New York,2013-05-27,Unreported Allergens,Closed Recall,Class III
,Massachusetts Firm Recalls Chili Products Produced Without Benefit of Inspection,,,Produced Without Benefit of Inspection,Closed Recall,Class I
,California Firm Recalls Meat and Poultry Products Produced Without Benefit of Inspection,California,,Produced Without Benefit of Inspection,Closed Recall,Class I
Han Yang Inc,Wisconsin Firm Recalls Cooked Pork Hocks Due To Misbranding and an Undeclared Allergen,"California, Illinois",,"Misbranding, Unreported Allergens",Closed Recall,Class II
,North Carolina Firm Recalls Chicken Salad Products Due To Possible Listeria Contamination,North Carolina,,Product Contamination,Closed Recall,Class I
"F&amp;S Produce Co., Inc.",New Jersey Firm Recalls Cobb and Spinach Salads Due to Possible Listeria Contamination,New Jersey,,Product Contamination,Closed Recall,Class I
"GHSW, LLC",Texas Firm Recalls Cobb Salads Due To Possible Listeria Contamination,Texas,,Product Contamination,Closed Recall,Class I
,Ohio Firm Recalls Salads Due to Possible Listeria Contamination,"Illinois, Indiana, Kentucky, Ohio, Tennessee",,Product Contamination,Closed Recall,Class I
,Michigan Firm Recalls Salad Products for Possible Listeria Contamination,,,Product Contamination,Closed Recall,Class I
J&amp;B Wholesale Distributing Inc.,Minnesota Firm Recalls Beef Sirloin Products Due To Misbranding and an Undeclared Allergen,"North Dakota, Texas",,"Misbranding, Unreported Allergens",Closed Recall,Class I
,North Carolina Firm Recalls Diced Beef Products That May Contain Foreign Materials,"South Carolina, Tennessee, Washington",,Product Contamination,Closed Recall,Class I
"Humphrey&#039;s Market, Inc.",Illinois Firm Recalls Ready-To-Eat and Raw Poultry Products Produced Without Benefit of Inspection,"Kansas, Missouri, Nebraska",,Produced Without Benefit of Inspection,Closed Recall,Class I
"Glenn&#039;s Market &amp; Catering, Inc.",Wisconsin Firm Recalls Ground Beef Products Due to Possible E. Coli O157:H7 Contamination,Wisconsin,,Product Contamination,Closed Recall,Class I
"LJD Holdings, Inc.",Idaho Firm Recalls Fully Cooked Meat and Poultry Products Due to Potential Listeria Monocytogenes Contamination,California,,Product Contamination,Closed Recall,Class I
,Georgia Firm Recalls Gluten-Free Chicken Nuggets Due To Misbranding And Undeclared Wheat,Indiana,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Stallings Head Cheese Co.,Texas Firm Recalls Ready-To-Eat Pork Products Due to Possible Salmonella Contamination,"Louisiana, Texas",,Product Contamination,Closed Recall,Class I
,California Firm Recalls Frozen Pizzas Due To Possible Foreign Matter Contamination,,,Product Contamination,Closed Recall,Class II
,Michigan Retail Store Recalls Ground Beef Products Due To Possible Salmonella Contamination,Michigan,,Product Contamination,Closed Recall,Class I
BPT Products Inc.,New Mexico Firm Recalls Beef Jerky Products Due to Misbranding and An Undeclared Allergen,Texas,,"Misbranding, Unreported Allergens",Closed Recall,Class II
"SAN JOSE VALLEY VEAL, INC",California Firm Recalls Veal Trimmings Due to Possible E. Coli O157:H7 Contamination,,,Product Contamination,Closed Recall,Class I
"Isabella Foods, Inc.",Texas Firm Recalls Chicken and Pork Tamale Products Due to Misbranding and Undeclared Allergens,Texas,,"Misbranding, Unreported Allergens",Closed Recall,Class II
Nueske Applewood Smoked Meats,Wisconsin Firm Recalls Liver PatE Due to Misbranding and An Undeclared Allergen,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
Nueske Applewood Smoked Meats,Una Firma En Wisconsin Retira Del Mercado Paté De Higado Debido A Error En Rotulación Y Alérgenos No Identificados,,,"Misbranding, Unreported Allergens",Closed Recall,Class I
"Perfect Pasta, Inc.",Illinois Firm Recalls Ready-To-Eat Roast Beef Products Due To Potential Listeria Monocytogenes Contamination,Illinois,,Product Contamination,Closed Recall,Class I
,Virginia Firm Recalls Pork Sausage Product That May Contain Foreign Materials,Alabama,,Product Contamination,Closed Recall,Class II
Schmalz European Provision Inc.,New Jersey Firm Recalls Chicken Sausage Product That May Contain Foreign Materials,New Jersey,,Product Contamination,Closed Recall,Class II
Summer Garden Food Manufacturing,Ohio Firm Recalls Bolognese Sauce Products Due to Undeclared Allergens and Misbranding,"Ohio, Pennsylvania",,"Misbranding, Unreported Allergens",Closed Recall,Class II
"Byron Center Wholesale Meats, Inc.",Michigan Firm Recalls Ham Products That Were Produced Without A HACCP Plan,"Michigan, Indiana",,Processing Defect,Closed Recall,Class I
,Arkansas Firm Recalls Chicken Polish Sausage and Chicken Breakfast Link Products Due To Potential Listeria Monocytogenes Contamination,Michigan,,Product Contamination,Closed Recall,Class I
Ben-Lee Processing Inc.,Kansas Firm Recalls Pork Products That Were Produced Without a HACCP Plan,Kansas,,Processing Defect,Closed Recall,Class I
,Recall Notification Report 023-2013,"Florida, Georgia, North Carolina, South Carolina, Virginia",2020-06-15,Product Contamination,Closed Recall,Class III
